FileName,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPS_Lat_Deg,GPS_Lat_Min,GPS_Lat_Sec,latitude,GPS_Lon_Deg,GPS_Lon_Min,GPS_Lon_Sec,longitude
20190323_150302_IMG_JW.jpg,207.4 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:02:55Z,,,28.604,,,,"33 deg 36' 16.61"" N",North,"117 deg 49' 33.46"" W",West,"33 deg 36' 16.61"" N, 117 deg 49' 33.46"" W",33,36,16.61,33.60461389,117,49,33.46,-116.1740389
20190323_151553_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 22:15:50Z,,,29.95,,,,"33 deg 36' 16.04"" N",North,"117 deg 49' 34.72"" W",West,"33 deg 36' 16.04"" N, 117 deg 49' 34.72"" W",33,36,16.04,33.60445556,117,49,34.72,-116.1736889
20190323_151601_IMG_JW.jpg,116.2 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:15:55Z,,,9.485,,,,"33 deg 36' 16.03"" N",North,"117 deg 49' 34.69"" W",West,"33 deg 36' 16.03"" N, 117 deg 49' 34.69"" W",33,36,16.03,33.60445278,117,49,34.69,-116.1736972
20190323_151830_VID_JW.mp4,,,"33 deg 36' 18.36"" N, 117 deg 49' 29.64"" W",,,,,,,,,"33 deg 36' 18.36"" N",,"117 deg 49' 29.64"" W",,"33 deg 36' 18.36"" N, 117 deg 49' 29.64"" W",33,36,18.36,33.6051,117,49,29.64,-116.1751
20190323_151848_IMG_JW.jpg,179.7 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:18:47Z,,,27.24,,,,"33 deg 36' 16.23"" N",North,"117 deg 49' 31.92"" W",West,"33 deg 36' 16.23"" N, 117 deg 49' 31.92"" W",33,36,16.23,33.60450833,117,49,31.92,-116.1744667
20190323_151903_IMG_JW.jpg,178.7 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:18:50Z,,,10.677,,,,"33 deg 36' 16.22"" N",North,"117 deg 49' 31.86"" W",West,"33 deg 36' 16.22"" N, 117 deg 49' 31.86"" W",33,36,16.22,33.60450556,117,49,31.86,-116.1744833
20190323_151905_MVIMG_JW.jpg,178.7 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:18:50Z,,,11.792,,,,"33 deg 36' 16.22"" N",North,"117 deg 49' 31.86"" W",West,"33 deg 36' 16.22"" N, 117 deg 49' 31.86"" W",33,36,16.22,33.60450556,117,49,31.86,-116.1744833
20190323_152319_IMG_JW.jpg,164.3 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:23:18Z,,,10.523,,,,"33 deg 36' 16.33"" N",North,"117 deg 49' 30.33"" W",West,"33 deg 36' 16.33"" N, 117 deg 49' 30.33"" W",33,36,16.33,33.60453611,117,49,30.33,-116.1749083
20190323_152338_IMG_JW.jpg,174 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:23:39Z,,,9.79,,,,"33 deg 36' 16.21"" N",North,"117 deg 49' 30.26"" W",West,"33 deg 36' 16.21"" N, 117 deg 49' 30.26"" W",33,36,16.21,33.60450278,117,49,30.26,-116.1749278
20190323_153114_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 22:31:11Z,,,47.465,,,,"33 deg 36' 17.54"" N",North,"117 deg 49' 32.70"" W",West,"33 deg 36' 17.54"" N, 117 deg 49' 32.70"" W",33,36,17.54,33.60487222,117,49,32.7,-116.17425
